ID,Joke
1,"Chuck Norris uses ribbed condoms inside out, so he gets the pleasure."
2,MacGyver can build an airplane out of gum and paper clips. Chuck Norris can kill him and take it.
3,Chuck Norris doesn't read books. He stares them down until he gets the information he wants.
4,"If you ask Chuck Norris what time it is, he always answers &quot;Two seconds till&quot;. After you ask &quot;Two seconds to what?&quot;, he roundhouse kicks you in the face."
5,Chuck Norris lost his virginity before his dad did.
6,"Since 1940, the year Chuck Norris was born, roundhouse kick related deaths have increased 13,000 percent."
12,Chuck Norris sheds his skin twice a year.
13,Chuck Norris once challenged Lance Armstrong in a &quot;Who has more testicles?&quot; contest. Chuck Norris won by 5.
14,There are no steroids in baseball. Just players Chuck Norris has breathed on.
15,"When Chuck Norris goes to donate blood, he declines the syringe, and instead requests a hand gun and a bucket."
16,Pluto is actually an orbiting group of British soldiers from the American Revolution who entered space after the Chuck gave them a roundhouse kick to the face.
17,Chuck Norris does not teabag the ladies. He potato-sacks them.
18,"According to the Encyclopedia Brittanica, the Native American &quot;Trail of Tears&quot; has been redefined as anywhere that Chuck Norris walks."
19,"In an average living room there are 1,242 objects Chuck Norris could use to kill you, including the room itself."
20,"The Chuck Norris military unit was not used in the game Civilization 4, because a single Chuck Norris could defeat the entire combined nations of the world in one turn."
21,"Chuck Norris doesn't shower, he only takes blood baths."
23,Time waits for no man. Unless that man is Chuck Norris.
24,Chuck Norris can hit you so hard that he can actually alter your DNA. Decades from now your descendants will occasionally clutch their heads and yell &quot;What The Hell was That?&quot;.
25,"In the Bible, Jesus turned water into wine. But then Chuck Norris turned that wine into beer."
26,Chuck Norris is the only human being to display the Heisenberg uncertainty principle - you can never know both exactly where and how quickly he will roundhouse-kick you in the face.
27,Faster than a speeding bullet... More powerful than a locomotive... Able to leap tall buildings in a single bound... These are some of Chuck Norris's warm-up exercises.
28,Chuck Norris is not hung like a horse. Horses are hung like Chuck Norris.
29,"Teenage Mutant Ninja Turtles is based on a true story: Chuck Norris once swallowed a turtle whole, and when he crapped it out, the turtle was six feet tall and had learned karate."
30,Someone once tried to tell Chuck Norris that roundhouse kicks aren't the best way to kick someone. This has been recorded by historians as the worst mistake anyone has ever made.
31,Chuck Norris has two speeds: Walk and Kill.
33,Chuck Norris once shot down a German fighter plane with his finger. By yelling &quot;Bang!&quot;
34,The opening scene of the movie &quot;Saving Private Ryan&quot; is loosely based on games of dodgeball Chuck Norris played in second grade.
35,"Fool me once, shame on you. Fool Chuck Norris once and he will roundhouse kick you in the face."
36,"Chuck Norris originally appeared in the &quot;Street Fighter II&quot; video game, but was removed by Beta Testers because every button caused him to do a roundhouse kick. When asked about this glitch, Norris replied &quot;That's no glitch.&quot;"
37,"If you spell Chuck Norris in Scrabble, you win. Forever."
38,Someone once videotaped Chuck Norris getting pissed off. It was called Walker: Texas Chain Saw Masacre.
39,Chuck Norris will attain statehood in 2009. His state flower will be the Magnolia.
40,"A handicapped parking sign does not signify that this spot is for handicapped people. It is actually in fact a warning, that the spot belongs to Chuck Norris and that you will be handicapped if you park there."
41,Chuck Norris doesn't wash his clothes. He disembowels them.
42,Chuck Norris doesn't churn butter. He roundhouse kicks the cows and the butter comes straight out.
43,Police label anyone attacking Chuck Norris as a Code 45-11.... A suicide.
44,Chuck Norris is the only man to ever defeat a brick wall in a game of tennis.
45,What was going through the minds of all of Chuck Norris' victims before they died? His shoe.
46,Chuck Norris once ate three 72 oz. steaks in one hour. He spent the first 45 minutes having sex with his waitress.
47,"There is no theory of evolution, just a list of creatures Chuck Norris allows to live."
48,Chuck Norris can win a game of Connect Four in only three moves.
49,CNN was originally created as the &quot;Chuck Norris Network&quot; to update Americans with on-the-spot ass kicking in real-time.
